Finglish	Persian
e?! tanhaa tanhaa?! daashtim?!	ئه؟! تنها تنها ؟! داشتیم؟!
lotfan mano nakhorid baashe?	لطفا منو نخورید باشه ؟
zan miravad lebaas va vasaayelash raa jam mikonad va baa chamedaan miaayad.	زن می رود لباس و وسایلش را جمع می کند و با چمدان می آید
man motaghedam ke in mohit haa shabakeye kherade miyaan nasli raa migoshaayad banaabarin hameye maa mitavaanim az ham beyaamoozim.	من معتقدم که این محیطها شبکه خرد میان نسلی را میگشایند بنابراین همه ما میتوانیم از هم بیاموزیم
kheyli tabii va baahaal bood.	خیلی طبیعی و باحال بود
oon haa aslan dark  nemikonan.	اونها اصلا درک نمی کنن
amaa shohar jaan ye daste gole bozorg be aab daad.	اماشوهرجان یه دسته گل بزرگ به آب داد
kheyli khob, yani to migi?	خیله خب ، یعنی تو میگی
dooste maadar shohar: to ke migofti yeki bemire man geriye nemikonam?	دوست مادرشوهر:تو که میگفتی یکی بمیره من گریه نمیکنم؟
az cheshmaaye pof kardat maloome, boro khodeto film kon bache man khodam khatme harchi ghalamam.	از چشمای پف کردت معلومه، برو خودتو فیلم کن بچه من خودم ختم هر چی قلمم.
haal mesaali kaamelan motafaavet raa dar nazar migirim.	حال مثالی کاملاً متفاوت را در نظر میگیریم
baa chizaayi ke migam movaafeghin, na?	با چیزایی که میگم موافقین، نه؟
khodet hich nazari nadari?	خودت هیچ نظری نداری ؟
fardaash az ham khodaahaafezi kardim va mohsen ghol daad taa maahe dige biyaad khaastegaari.	فرداش از هم خداحافظی کردیم و محسن قول داد تا ماه دیگه بیاد خواستگاری
vaaredaate rob goje az afghaanestaan.	واردات رب گوجه از افغانستان
be raahati mitavaan yek baazgooyeye ehsaasiye aashofte az aanche rooy daade ast nevesht.	براحتی میتوان یک بازگویه احساسی آشفته از آنچه روی دادهاست نوشت
ehsaasaat kheyli shakhsiye.	احساسات خیلی شخصیه.
hamishe mire sofre khoone.	همیشه میره سفره خونه.
baa aan ke kaar haaye mohemtari bood, bishtare chiz haayi ke rokh midaad raftaar haa va olgoo haaye kam ahamiyati boodand.	با آنکه کارهای مهمتری بود، بیشتر چیزهایی که رخ میداد رفتارها و الگوهای کماهمیتی بودند
man reise tamaame moosh haaye aalam hastam. tanhaa kasi ke toonest hitler ro shekast bede.	من رئیس تمام موش های عالم هستم. تنها کسی که تونست هیتلر رو شکست بده.
daaneshgaahash shish model aadam ro andaakhte dore khodash.	دانشگاهش شیش مدل ادم رو انداخته دور خودش
shohar jaan daasht behesh migoft haani khoshgele va koli naazesho mikeshid.	شوهرجان داشت بهش میگفت هانی خوشگله و کلی نازشو میکشید:
kaare khoobi mikoni, aafarin.	کار خوبی می کنی ، افرین.
albate man chand baari shode ke didam too hayaateshoon kafsh mardoone hast.	البته من چند باری شده که دیدم تو حیاطشون کفش مردونه هست.
sokhangooye shabakeye khabariye CBS ke shabakei meli va televiziyooni dar aamrikaa ast dar bakhshe khabare khod elaam kard.	سخنگوی شبکه خبری CBS که شبکهای ملی و تلویزیونی در آمریکاست در بخش خبر خود اعلام کرد
do ghadam miri jelo se ghadam bar migardi aghab.	دو قدم میری جلو سه قدم برمیگردی عقب
aare, tanhaayi kheyli sakhte.	آره ، تنهایی خیلی سخته
to payaamo paak kardi dige.	تو پیامو پاک کردی دیگه
nemitavaani az yek gangestere ghadimi pool begiri va pas nadehi.	نمیتوانی  از یک گنگستر قدیمی پول بگیری و پس ندهی
dar zendegiye roozmare dar mahale kaar, raah haayi hast ke javaanaan raa poshtibaani konim?	در زندگی روزمره در محل کار، راههایی هست که جوانان را پشتیبانی کنیم؟
azam mikhaay ke azat bekhaam?	ازم میخای که ازت بخام؟
bedoone in ke baaz soaali karde baasham baa asabaaniyat shoroo kard.	بدون انکه باز سوالی کرده باشم با عصبانیت شروع کرد
baashe, ramzi harf mizanam.	باشه ، رمزی حرف می زنم
albate man omidvaar boodam.	البته من امیدوار بودم
az aapaartemaan khabari nashod?	از آپارتمان خبری نشد ؟
oo gholeye everest raa fath mikonad.	او قله ی اورست را فتح می کند
khordaade motafaavetiyam bood.	خرداد متفاوتیم بود
bazi vaghtaa ye khaabe kheyli ghashang mibini.	بعضی وقتا یه خواب خیلی قشنگ میبینی
chandelor ham aslan nemifahme.	چندلر هم اصلا نمی فهمه
roozi ke amalash kardam maamaanam tak o tanhaa in khaanom ro jaa be jaa kard va kamaresh dard gereft.	روزی که عملش کردن مامانم تک وتنها این خانم رو جابه جا کرد و کمرش درد گرفت
bad raftaari baa kaargar haa, seyl, khoshksaali va ghahti.	بدرفتاری با کارگرها، سیل، خشکسالی و قحطی
shanbe hastam, vaaghean migam.	شنبه هستم ، واقعا میگم
oo porsid: cheraa goldaan haaye naghsh daar va goldaan haaye saade yek gheymat hastand?	او پرسید:چرا گلدانهای نقش دار و گلدانهای ساده یک قیمت هستند ؟
baa mohayaa saaziye fazaaye amaliyaatiye amn.	با مهیاسازی فضای عملیاتی امن
haalaa baraaye in kaar laazem nist khod raa daakhele otomobil habs konim.	حالا برای اینکار لازم نیست خود را داخل اتومبیل حبس کنید
edeaaye ghatle perezident kenedi va edeaaye eghdaam be terore paap tavasote CIA.	ادعای قتل پرزیدنت کندی و ادعای اقدام به ترور پاپ توسط CIA
sharike jensi mage oon nist ke baa ham pool mizaarin az saaghi jens migirin?	شریک جنسی مگه اون نیست که باهم پول میذارین از ساقی جنس میگیرین؟
vali too matab doktor sakhtete?	ولی تو مطب دکتر سختته؟
nemidoonam baayad chikaar konam?	نمیدونم باید چیکار کنم
avalin harfi ke zad: maa aadam nemishim, aadam nemishim.	اولین حرفی که زد:ما ادم نمیشیم،ادم نمیشیم
maa dar borhei az zamaan hastim ke donyaa baraaye kaar sari taghir mikonad.	ما در برههای از زمان هستیم که دنیا برای کار سریع تغییر میکند
manam movaafegham.to cheraa in ghadr bi masooliyati? cheraa be fekre aasaayaeshe khaahar maadarat nisti?	منم موافقم. تو چرا اینقد بی مسئولیتی؟ چرا به فکر آسایش خواهر مادرت نیستی؟
dar naa omidiye kaamel, yek maghaale khaandam dar morede farhange mohite kaare rasmi va riz khoshoonat haa.	در ناامیدی کامل، یک مقاله خواندم در مورد فرهنگ محیط کار سمی و ریزخشونتها
bemoonam ke yek sag oonjaast.	بمونم که یک سگ اونجاست
shookhi kardim moones khaanom.	شوخی کردیم مونس خانم.
sahaam daari ke mitavaanad dar sherkati aamele taghir baashad.	سهامداری که میتواند در شرکتی عامل تغییر باشد
mesle oon film, zang bezanam be ye ghaatel biyaad mano bokoshe.	مثل اون فیلم،زنگ بزنم به یه قاتل بیاد منو بکشه
teraafike khiyaaboon haa ham ke do baraabare roozhaaye digas.	ترافیک خیابونها هم که دو برابر روزهای دیگهس
oonjaa haa, kasi ro nemibini ke too dastesh ketaab nabaashe.	اون جاها، کسی رو نمیبینی که تو دستش کتاب نباشه
taa dobaare beshe oon mojoode kamyaabo did.	تا دوباره بشه اون موجود کمیاب دید
va be soaalaati paasokh dahand ke chegoone aksolamal neshaan daadeand.	و به سوالاتی پاسخ دهند که چگونه عکسالعمل نشان دادهاند
na, vali azash khosham miyaad.	نه ، ولی ازش خوشم میاد
sobh bidaar shodam, baa tasvire footbaali ke too zehnam bood va dah yaazdah saa'at bad baayad anjaam mishod.	صبح بیدار شدم، با تصویر فوتبالی که که تو ذهنم بود و ده یازده ساعت بعد باید انجام میشد
shaayad betooni faraamooshesh koni.	شاید بتونی فراموشش کنی
nemitavaanam in kaar raa bokonam.	نمیتوانم این کار را بکنم
khaanoome ke bache daar shod, be shoharesh goft.	خانومه که بچه دار شد،به شوهرش گفت
dargire mohamad boodam. bacheam ye kam tab karde.	درگیر محمد بودم. بچه ام یه کم تب کرده
age alaan shoharjaan injaa bood migoft: man o in hame khoshbakhti mahaale.	اگه الان شوهرجان اینجا بود میگفت: من و این همه خوشبختی محاله
khob, hame aamaade hastid?	خوب ، همه آماده هستید؟
nemitoonam in kaaro bokonam.	نمی تونم این کارو بکنم
in dige che kaari bood?	این دیگه چه کاری بود ؟
parvaane miravad. aazaade va parvaane vaared mishavand.	پروانه می رود . ازاده وپروانه وارد می شوند.
shilaa joon mikhaay ye chaay be maa bedi?	شیلا جون می خوای یه چای به ما بدی؟
hadeaghal baraaye man injoorie.	حداقل برای من اینجوریه
baa shakhse zirdaste digari dar bakhshe ertebaataate sarmaaye gozaar sohbat mikonad.	با شخص زیردست دیگری در بخش ارتباطات سرمایهگذار صحبت میکند
asabaani tar mishavad. aare. raast mige baayad khafash konim.	عصبانی تر می شود آره. راست میگه باید خفش کنم.
in ghesmat behtarin saaghdoosh.	این قسمت بهترین ساقدوش
- na, mikhaam zobesh konam.	.نه ، میخام ذوبش کنم-
niloofar: man baraaye do taa chiz gerye mikonam, yakish bache haa va oon yeki heyvaanaat.	نیلوفر:من برای دوتا چیز گریه میکنم،یکیش بچه ها و اون یکی حیوانات
bazihaa baayad dah baraabar kaar konand taa jaayegaahe moshaabehi bedast aavarand.	بعضیها باید ده برابر کار کنند تا جایگاه مشابهی بدست بیاورند
yak saal raa har rooz sare kaar raftam.	یک سال را هر روز سر کار رفتم
ooshoon: to be in zeshti hame behet migan khoshgel maa chizi migim.	اوشون: تو به این زشتی همه بهت میگن خوشگل ماچیزی میگیم!
be gheymate fadaa shodane digar ahdaaf vojood daarad.	به قیمت فدا شدن دیگر اهداف وجود دارد
sisteme zamin hamchenaan enetaafe laazem raa daarad.	سیستم زمین همچنان انعطاف لازم را دارد
az roo poshte boomam biyaa paain.	از رو پشت بومم بیا پایین
derek, injaa chikaar mikoni?	درک,اینجا چیکار میکنی؟
khob oon moghe nadaashtam.	خوب اون موقع نداشتم
in ye haftei ke gozasht aslan ghashang nabood.	این یه هفته ای که گذشت اصلا قشنگ نبود
bache haa biyaayd biroon.	.بچه ها ، بیایید بیرون
zir aabi kodoome? khiyaanat chiye?	زیر آبی کدومه؟ خیانت چیه؟
nemitoonam in kaaro bokonam.	نمیتونم این کارو بکنم-
- yaadet andaakht, mage na?	یادت انداخت ، مگه نه؟-
pahlooye khaale richel mizaaram.	پهلوی خاله ریچل میزارم
baa ejaazatoon maa dige rafe zahmat konim.	با اجازه تون ما دیگه رفع زحمت کنیم
to ke be khodet etemaad daashti jenaab.	تو که به خودت اعتماد داشتی جناب.
ey val maamaanam aasheghe in baaziye.	ای ول مامانم عاشق این بازیه
va maa baraaye naahaar raftim.	و ما برای ناهار رفتیم
koloope mardaane talaagh gerefte.	کلوپ مردان طلاق گرفته
natije migirim ke nabaayad oon badbakht ro zaa be raah konim. berim bekhaabim behtare.	نتیجه می گیریم که نباید اون بدبخت رو زابه راه کنیم. بریم بخوابیم بهتره.
saraasime ey vaay chi shode? dozdidanet? kojaa raftan? chand nafar boodan?	سراسیمه ای وای چی شده؟ دزدیدنت؟ کجا رفتن؟ چند نفر بودن؟
masalan bere too mehr maah, az no shoroo konam.	مثلا بره تو مهرماه،از نوع شروع کنم
in sage alaan goft salaam.	این سگه الان گفت:سلام
ke tooye filme vaaghei baashi.	که توی فیلم واقعی باشی
